,Quote,Keyword
0,"In the end the shape and form don't matter at all, it's only the soul that matters, right? Nothing else.",matter
1,"I'm still a man too, I wanted to look calm and composed in front of everyone. Especially in front of the one I'm in love with.",love
2,"Clausewitz, he pointed out that no matter how carefully one plans, on the battlefield, even the smallest of details can cause setbacks. Regardless of how well-thought it is, armchair strategizing only works in the realm of theory. Unexpected troubles, or uncontrollable factors such as weather. Operations face those sorts of troubles. They are the cause of strife on the battlefield.",armchair
3,Because of the existence of love - sacrifice is born. As well as hate. Then one comprehends... one knows PAIN.,comprehends
4,Courage is a word of justice. It means the quality of mind that enables one to face apprehension with confidence and resolution. It is not right to use it as an excuse to kill someone.,excuse
5,Everyone Makes Mistakes. But people's feelings can manifest through the most subtle of expressions.,people feelings
6,"The truth is everyone is going to hurt you, you just got to find the ones worth suffering for.",truth
7,"Slowly, by spending time together with that person, your love for him will grow bigger.",spending
8,"It's best to go up against strong guys, if you want to get stronger.",strong
9,Mistaking lust for love shows that you're caught in an inflationary spiral of sexual frustration.,lust
10,The inexperienced draw attention by acting differently.,inexperienced
11,You should try persuasion when people are mentally defenseless. The fascist who proposed that was a demonic genius.,fascist who proposed
12,The words of your past are fundamentally unrelated to who you are now.,words
13,"Humans who would dare to play God must pay a steep price for their arrogance, that is Truth.",dare
14,"""Never trust anyone too much... Remember the devil was once an angel...""",devil
19,There are two kinds of girls in this world. Lovely girls who can get along with me. And all the bitches who can't,bitches
20,Women tend to kill when it's not necessary. They kill for reasons of passion. For trivial reasons like love and hate. ,reasons like love
21,"If I try, I fail. If i don't try i'm never going to get it.",fail
22,DEATH is so unfair. It comes to those who don't need it. But not the people who are asking for it.,people
23,"In this world, nobody is free. Even the flying birds are chained to the sky.",flying
24,"Even if you lose all memory in your head, the ones engraved in your heart and the ones that exist in your soul will never disappear, no matter what happens.",lose
25,No man chooses evil because it is evil,man
29,"Losing something is sad. Even when I lose something as tiny as a worn-out eraser, I feel pretty down for a day or two. That's why I'm looking for him.",lose
30,"There are all sorts of mysteries in this world, like snacks and candy and sweets falling from the sky!",sorts
31,"If this world continues to reject me, then I shall reject the world.",reject the world
32,"""... Although this won't happen instantly, as long as you have the thought, you will have a chance. Because at the moment you want to change, you have already taken the first step to changing.""",moment
33,Luxury means something with no meaning at all,meaning
34,"For me, despair is not a goal, or a set of principles, or a lifestyle, or even an instinct... It's what defines me as Junko Enoshima! It's just my characterization! That's why I'm able to pursue despair with such purity!",pursue
35,It doesn't matter how much trash you pick up. You just have a pile of trash.,pile of trash
36,Is that all your feelings have to offer? Go ahead. Try to wrench open my heart. That's the only way you'll get me.,wrench
37,"When I'm away from you, even though I can't be around crowds, I want to go see you.",crowds
38,"Even if the questions change, it makes no difference to me.",questions
39,But the big difference is who I work for. I'd rather die than be a yes-man to someone I don't even like.,die
40,"Fear is ""evil"", it tells your weakness. If you can know your weakness, people become strong and gentle. ",strong
41,The closest thing to being cared for is to care for someone else.,closest
42,"""Why must everyone make such a fuss over the death of a single soldier? The moment a soldier dons his uniform, he accepts the reality that he might be buried in it.""",moment
43,"Even if people refuse to accept you, it doesn't change the fact that I accept you and don't want you to leave.",people
44,It isn't even interesting fighting against someone who doesn't have their own goals.,interesting
45,"You've finally realized that the one thing you want, something greater than money, it can never be yours.",finally
46,"You can't do anything about what doesn't exist. In the end, humans have to settle for what's in front of them.",settle
47,Forgiveness is the only way to end the war.,end
48,Smiles are what connect people! It allows them to communicate through their souls! Connected souls will never lose to the strength that only relies on control! Dueling is the same! Only strength alone doesn't speak to anyone's soul!,speak
49,"Do they love you, or the mask you put every day?",love
50,Nobody can make someone who isn't trying to be happy into someone that's happy,make
51,"The moment you put it into words and tell someone, it starts to diverge from your feelings. Words are nothing but lies and nothing but cheats. No matter what the truth, the moment it is told, it becomes dramatized.",matter
52,Hatred will never be erased! The only thing you can do is erase the ones you hate!,thing
53,Seasons change just like the passing of time. We all have out destines and then we must move. That's they way it has always been.,destines
54,The world isn't something that is all planned out. It's something you make yourself. ,make
55, I can conquer the world with one hand as long as you are Holding the other,conquer
56,"There’s no reason to pretend to be cool. Let’s show our lame sides. That’s who we really are, after all.",show
57,Learning and copying are the same.  Everyone starts out copying someone else. Every last person. ,starts out copying
58,"Of course, if you lose in fighting it'd be a problem, but it's also a problem if you lose in character",fighting
59,"That's right! Whatever the tragedy or the blunder is, only the things that actually happened are written in stone!",tragedy
